cenere;Asche
pescecane;Hai, Haifisch
rude, brusco;brummig, unwirsch
denti, dentatura;Gebiss
affigere;anlegen, beifügen
coscia;Schenkel, Oberschenkel
diarrea;Diarrhö, Durchfall
fragola;Erdbeere
brezza;Brise
di nascosto;insgeheim, verstohlen
pompare;pumpen
poema;Gedicht
menta;Minze
chiglia;Kiel
cima;First, Gipfel, Wipfel
punta;Spitze, Stift, Zacke, Zinke, Zipfel
parafango;Kotflügel
augurio;Anzeichen, Vorzeichen/ Wahrsagung
garofano;Nelke
antartico;antarktisch, südpolar
terminare, finire;beschließen, enden, beenden, endigen, beendigen, erledigen
firmare;subskribieren
viaggio;Reise, Tour
chiedere;bitten, ersuchen
angolano;angolanisch/ Angolaner
abortire;eine Fehlgeburt haben
ingaggiare, arruolare;werben, anwerben
prova;Ausweis, Beweis, Beleg
amianto;Asbest
arciduca;Erzherzog/ Großherzog
mite;mild
cipresso;Zypresse
assorbire;absorbieren
diabolico;teuflisch
imboccatura;Mund, Mündung
cameriera;Zimmermädchen, Zofe
anatema;Bann, Fluch, Bannfluch
argilla;Lehm, Ton, Tonerde
commissario;Kommissar/ Zahlmeister
merluzzo;Dorsch, Kabeljau
sbadiglio;Gähnen
ateniese;athenisch/ Athener
Puglia;Apulien
rospo;Kröte
rifiutare;ausmerzen
birreria;Brauerei
medio;mittlerer, mittlere, mittleres/ Mittel-
corno;Hupe
andorrano;andorranisch/ Andorraner
tirare;ziehen, verziehen
petizione;Bittschrift
zodiaco;Tierkreis
imitare;imitieren, nachahmen, nachbilden
covare;brüten
macelleria;Schlachtfeld, Schlachthof
mangiabile, commestibile;essbar, genießbar
ribes;Stachelbeere/ Johannisbeere
ontano;Erle
ciclomotore;Moped
amo;Angelhaken
acciuga, alice;Anchovis
palato;Gaumen
miserabile, misero;elend, erbärmlich, jämmerlich
per mezzo di, mediante;durch, mit, vermittels
Lapponia;Lappland
congresso;Kongress
Ardenne;Ardennen, Ardennerwald
osservazione;Bemerkung, Beobachtung, Vermerk
impaurire, spaventare;zurückschrecken
Ognissanti;Allerheiligen
Messia;Messias
poppa;Heck
retroguardia;Nachhut
scozzese;Schotte
monologo;Monolog
affaticare, stancare, spossare;strapazieren
arrendersi;sich ergeben, kapitulieren
allattare;säugen
garanzia;Garantie, Gewähr
bilancio;Bilanz, Schlussrechnung/ Etat, Haushalt, Haushaltsplan, Budget
barbaforte;Meerrettich
fanatico;fanatisch, leidenschaftlich
dattero;Daktylus, Dattel
succhiare;lutschen, saugen
contabile;Buchhalter
arco;Bogen, Bügel
atlantico;Atlantik-
bacillo;Bazillus
piegare;falten, zusammenlegen
segale;Roggen
decente;gehörig
sala d'aspetto;Warteraum, Wartesaal
battesimo;Taufe
successo;Erfolg, Gelingen
baracca;Baracke, Lagerhütte
pianta;Gewächs/ Fußsohle, Sohle/ Anlage, Pflanzen, Anpflanzen, Pflanzung, Anpflanzung
molla;Feder, Triebfeder
argentino;Argentinier
osso di balena;Fischbein/ Barte
bramoso, avido;begierig, habgierig, lüstern
lupo;Wolf
barometro;Barometer
Venere;Venus
rione popolare, quartiere popolare;Armenviertel, Hinterviertel
cibreo;Ragout
piattaforma;Kai
ragazzo;Junge, Knabe
denunciare;angeben, anzeigen, denunzieren, hinterbringen
covata;Brut
Assiria;Assyrien
valigia;Handkoffer
gambero;Krebs
apparecchio;Apparat, Vorrichtung
accumulazione;Ansammlung/ Anhäufung/ Versammlung
domestico;Hausdiener
afgano;afghanisch/ Afghane
Lettonia;Lettland
mulo;Maulesel, Maultier
Ande;Anden
ribes nero;Aalbeere
cornamusa;Dudelsack
danese;Däne
misurato;gemessen
cittadella;Zitadelle
progetto;Entwurf, Plan, Grundriss/ Projekt/ Skizze
granaio;Baracke, Bude, Hütte, Scheune
cedola;Coupon, Zinsabschnitt
Algeri;Algier
Arcadia;Arkadien
bancarotta;bankrott, zahlungsunfähig
chirurgo;Chirurg/ Wundarzt
compiere, eseguire;ausführen, bestellen, erfüllen, leisten
artiglieria;Artillerie
cassa sa morto;Sarg
