komplex, zusammengesetzt, verwickelt, kompliziert, Komplex, umständlich;complex
Kojote, nordamerikanischer Präriewolf;coyote
Impressionismus;impressionism
Romanze;romance
Kaspische Meer;Caspian Sea
Pretoria;Pretoria
Addis-Abeba;Addis Ababa
Gnade, Gunst, Vergünstigung, Gefallen, Gefälligkeit;favour
Architrav;architrave
neigen zu, neigen, hinneigen;to incline
Pfau;peacock
Smaragd;emerald
Behälter, Gefäß, Vase;vase
qualifizieren, kennzeichnen;to qualify
indirekt, mittelbar;indirect
Merkur;Mercury
Peripherie;outskirts, periphery
Lagune;lagoon
farblos;achromatic
thailändisch;Thai
metrisch;metric
Christrose, Schwarze Nieswurz, Schneerose;Christmas rose
Kehllaut, Guttural;guttural
Prosa;prose
Pakistaner, pakistanisch;Pakistani
Blutgerüst, Schafott;scaffold
polemisieren;to engage in a controversy
Anstoß;shock
Ziegenbock;he-goat
widerwärtig, schädlich;adverse
Begierde, Gier, Begeisterung, Enthusiasmus;alacrity
unehelich, Bastard..., Bastard, Mischling;bastard
in Schrecken setzen, entsetzen, Entsetzen verbreiten, abschrecken, ängstigen, einschüchtern, verscheuchen;to frighten
Hartriegel;cornel
Estland;Estonia
seiden, Seide;silk
Äquinoktium, Tagundnachtgleiche;equinox
austreiben, ausweisen, fortjagen, vertreiben, wegjagen;to expel, to chase away
Yttrium;yttrium
Kittel;smock, overalls
Distel;thisle
pflügen;to plough
knipsen, fotografieren, ablichten, photographieren;to photograph
kalifornisch;Californian
ugandisch;Ugandan
zermalmen, zerschmettern;to smash, to shatter
Turkmenistan;Turkmenistan
Anchovis, Anschovis;anchovy
Narbe;scar
Süßkirsche, Vogelkirsche;sweet cherry
Klammer, Parenthese;parenthesis
Wiederholung;repetition
Jaguar;jaguar
Stinktier, Skunk;skunk
abnormal, anormal;abnormal
abtreten, nachgeben, weichen, entsagen, verzichten;to give up
ägyptisch, Ägypter;Egyptian
vergolden;to gild
Elsass;Alsace, Elsass
Studentenblume, Samtblume;African marigold
Kap der Guten Hoffnung;Cape of Good Hope
Türke;Turk
Abstraktion, Zerstreuung, Unaufmerksamkeit;absence of mind
Äther;ether
appellieren;to appeal
genealogisch;genealogical
Kornblume;cornflower
Aushalten, Beharren;perseverance
striegeln;to curry
Zimmermann;carpenter
Jüngling;youngster
Altstimme;contralto voice
Nachtigall;nightingale
Späher, Spion;spy
golden, Gold-;golden
Kristall;crystal
beanspruchen, zumuten, vermuten, voraussetzen;to presume
Glimmer;mica
Lothringen;Lorraine
Schirmherrschaft, Vorzeichen;patronage, auspices
Anreiz, Anziehungskraft, Attraktion;attraction
Zahnschmerz, Zahnschmerzen, Zahnweh;toothache
Temperatur, Witterung;temperature
Perseus;Perseus
Steinmarder;stone-marten
abstumpfen;to blunt
Schläfe, Tempel;temple
Hühnerauge, Schwiele, Mais;corn
prüde, zimperlich;prudish
schlingen, winden, flechten;to twine, to wreathe, to plait
polstern;to pad, to upholster
Oberarm;upper-arm, upper arm
Funke;lighter
Position;position
geübt;skilled, practised
entspringen, entstehen, herkommen, stammen, abstammen, kommen;to come
huren, prostituieren;to prostitute
Zigarrenstummel;cigar-stub, cigar-end
Frühlings-Küchenschelle;spring pasqueflower
Gedankensplitter;aphorism
Tatar;Tartar
Geist, Gespenst, Phantom, Spuk;ghost, phantom
Höhlenbewohner, Höhlenmensch;cave-man, wren, troglodyte, cave-dweller
Leibeigener;villain, serf
Baracke, Lagerhütte;shanty, barrack
anglophil, englandfreundlich;pro-English
Scheibe, Schnitte;slice
absorbieren, ähnlich machen, assimilieren, disponieren, verfügen, aufsaugen, einsaugen, schlürfen, einschlürfen;to absorb
ausscheiden, absondern;to secrete
widerwärtig, düster, dunkel, trübe, rau, barsch, kalt, kahl;bleak
binär;binary
Bangkok;Bangkok
Glaubensverleugner, Abtrünniger, Renegat;deserter, renegate
Kassiopeia;Cassiopeia
Patriot;patriot
Gewichtslosigkeit, Leichtigkeit;weightlessness
ableiten, abwenden, entwenden, abschicken, entsenden, fortschicken, wegschicken;to turn away
Bouillon, Brühe, Fleischbrühe;bouillon
Turm, Zwinger;rook, steeple, tower
Segel;sail
Kalk;lime
Farbe, Schminke, Tinktur;dye
abkürzen, verkürzen;to curtail, to shorten, to abridge
Erregtheit, Aufregung, Erregung, Anregung;excitement
Galle, Gallapfel;gall
Vorsorge;thoughtfulness
rumänisch;Rumanian
Komplott, Verschwörung;conspiracy
begünstigen;to favour
Steuerbord;starboard, right-hand side
Teer;tar
Steilheit;abruptness, steepness
Sekret;secretion
gleich, entsprechend, konform;conforming
untergraben;to subvert, to undermine
kodifizieren;to encode
Hai, Haifisch;shark
wehmütig, Melancholie, Schwermut, Tiefsinn, Trübsinn, Wehmut;melancholy
Dolch;dagger
Bücherrevision;accountancy
Mitglied eines Klubs;club member
Forsythia, Goldflieder;forsythia
Babysitterin, Babysitter;baby-sitter
verkümmern;to atrophy
verschütten;to spill
Genf;Geneva
dogmatisch;dogmatic
vietnamesisch;Vietnamese
Florenz;Florence
bruneiisch;Bruneian
Taille;waist, waistline
Mitra;mitre, miter
grotesk, wunderlich;grotesque
exekutieren, hinrichten, vollstrecken;to execute
Quecke;couch-grass
Belehrung, Weisung, Instruktion;instruction, directions
wund;injured, wounded
Schleuse;sluice
Abzeichen, Emblem, Sinnbild;emblem
Fee, Genius, guter Geist;fairy
Kalzium;calcium
Athlet;athlete
Beschädigung (während des Transports), Bruch (während des Transports), Havarie, Schaden (während des Transports), Seeschaden, Transportschaden, Schaden, Sachschaden, Verderbnis;damage
Apfelwein, Obstwein, Zider;cider
Tau;dew
Korsika;Corsica
montieren;to link
Plattheit;triteness, triviality
Uniform, einförmig;uniform
Expreß;express
Justitia;Justice
Kolben;piston
Maul, Maulkorb;muzzle
Entsagung;relinquishment, renunciation, surrender, cession
als Tatsache feststellen, konstatieren;to ascertain, to take note
sambisch;Zambian
semitisch;Semitic
Arbeit, Aufgabe, Pensum;task, assigned job
Mantel, Umhang;cloak, mantle
Feldflasche;flask, water-bottle
