der, die, das;the
folgen, nachfolgen, befolgen, erfolgen v;follow v
anders, andere(r, s), unterschiedlich, verschieden, ausgefallen, ungewöhnlich adj;different adj
die Schweiz n;Switzerland n
amerikanisch adj;American adj
schnell, prompt adj;quick adj
weg, fort, entfernt adj;away adj
schlagen v;beat (beat - beaten), smite (smote - smitten) v
voll adj;full adj
bauen, erbauen v;build (built - built) v
früh, frühzeitig, zeitig, früher (als erwartet usw.) adj;early adj
spät, später als üblich, zu spät, verspätet, jüngste(r, s), neueste;late
sterben, umkommen, vergehen, dahinschwinden, erlöschen adj;die adj
anstatt, statt, an Stelle von;instead of
Platz, Raum, Saal, Zimmer n;room n
fallen, stürzen, herunterfallen v;fall (fell - fallen) v
scheinen, erscheinen, vorkommen (als, wie) v;seem v
oft, häufig adj;often adj
jdn tragen, etw tragen, etw übertragen (Medizin) v;carry v
glatt machen, eben machen, glätten v;even v
weniger, abzüglich adj;less adj
möglicherweise, vielleicht adv;possibly adv
rufen, anrufen, nennen, bezeichnen v;call v
acht adj;eight adj
nie, niemals adv;never adv
versuchen, ausprobieren, probieren v;try v
nahe, annähernd, fast, beinahe adj;near adj
Sohn, mein Junge n;son n
sich kümmern, sorgen v;care v
morgen adv;tomorrow adv
hübsch, nett, ganz schön, ziemlich adj;pretty adj
schwarz adj;black adj
allein, alleine adj;alone adj
bereit, fertig, parat, zur Hand, griffbereit adj;ready adj
einfach, simpel, schlicht, leicht adj;simple adj
lieben, gerne mögen v;love v
Hilfe n;help n
Stimme n;voice n
Buch, Heft n;book n
frei, kostenlos, gratis, Frei-... adj;free adj
neben (räumlich), außer, abgesehen von;beside
Stück, Stückchen, Teil, Figur (Spielfigur), Theaterstück, Werk n;piece n
Spiel, Schauspiel, Theaterstück n;play n
jagen, fahnden nach, suchen v;hunt v
etwas, einige, ein paar, manche, irgendein, irgendeine, irgendwelche v;some v
Zeit stoppen, Zeit messen v;time v
ganze(r, -s) n;whole n
rot adj;red adj
Mutter, Muttertier n;mother n
helfen v;help v
laufen, rennen, davonlaufen, wegrennen v;run (ran - run) v
einige, mehrere, verschiedene adj;several adj
Wort, Nachricht, Versprechen n;word n
einfangen, fangen, erwischen, erreichen, bekommen v;catch (caught - caught) v
unser(e);our
eigene(r, s) adj;own adj
verstehen, begreifen v;understand (understood - understood) v
leicht, bequem, einfach, mühelos, ohne Aufwand adj;easy adj
fein, schön, ausgezeichnet, erlesen adj;fine adj
Anfang, Beginn, Gründung, Start n;start n
reich, prächtig, teuer, üppig, fruchtbar, voll, kräftig, stark adj;rich adj
warten auf v;wait for v
das nächste Mal, danach adv;next adv
stark, kräftig, stabil, solide, robust adj;strong adj
tief adj;deep adj
Teil, Bestandteil, Ersatzteil, Folge, Beteiligung, Part n;part n
Schweizer, Schweizerin n;Swiss n
Geschichte, Erzählung, Artikel, Handlung n;story n
hoffen v;hope v
niemand, keiner;nobody
irgendwer, irgendjemand, jeder;anybody
Möglichkeit, das in Frage kommende n;possible n
schließen, zumachen, zuziehen, abschließen v;close v
Auto, Wagen n;car n
hinter (räumlich, zeitlich), dahinter, hinten adv;behind adv
Name, Ruf, Persönlichkeit n;name n
Oberflächenbeschaffenheit, Ergebnis, Endspurt, Finish n;finish n
Wasser n;water n
Fall, Sturz, Einnahme, Eroberung, Zusammenbruch, Sinken, Gefälle, Herbst n;fall n
Abend n;evening n
Bedeutung, Sinn n;meaning n
besser, günstiger adj;better adj
rechts, richtig, wahr, korrekt adj;right adj
zweite adj;2nd, second adj
kämpfen, kämpfen gegen, sich schlagen mit, sich prügeln mit v;fight (fought - fought) v
ausgeglichen, gleichmäßig, regelmäßig, stetig, gerade (Zahl) adj;even adj
antreiben, betreiben, rasen v;power v
Zahl, Anzahl, Ziffer, Nummer n;number n
jede(r, -s) (einzelne) adj;each adj
jede(r, s) adj;every adj
passieren, vorbeigehen, vorbeifahren, vorbeikommen, bestehen v;pass v
Bild, Foto, Zeichnung, Gemälde, Verkörperung, Abbild, Ebenbild n;picture n
Pflanze, Werk, Betrieb, Fabrik n;plant n
zwölf adj;twelve adj
etw schließen, etw zumachen, etw zusperren, zugehen, geschossen werden v;shut (shut - shut) v
Hand, Zeiger (eines Messinstruments), Zeiger (einer Uhr) n;hand n
neun adj;nine adj
Zug (i. S. v. Bewegung), Schritt, Maßnahme n;move n
Stück, Bit (Computer) n;bit n
