der, die, das;the
begrenzt, endlich (Mathematik), finit (Mathematik) adj;finite adj
an sich drücken, in den Armen wiegen v;cradle v
tief, fest sitzend, tief verwurzelt adj;deep-rooted adj
mit weit offenen Augen, mit weit geöffneten Augen adj;open-eyed adj
im Gefängnis sein, im Gefängnis sitzen v;be in prison v
in Schwung kommen, beschleunigen, in Fahrt kommen, in Gang kommen v;gather momentum, gain momentum v
Scheitelpunkt, Spitze (höchster Punkt) n;vertex n
sich den Kopf anstoßen, sich den Kopf stoßen v;brain oneself v
einer Sache Ausdruck verleihen, etw aussprechen v;give voice to sth v
gern(e) adj;gladly adj
Angabe, Aufstellung, Beschreibung, Bauplan, Spezifikation, Bedingung, Vorschrift n;specification n
Stichprobenerhebung, stichprobenartige Untersuchung, Sampeln n;sampling n
schlicht und einfach;purely and simply
verzichten, aufgeben, abschwören, entsagen v;renounce v
jdn (über etw) unterrichten, jdn informieren, jdn benachrichtigen, etw melden v;notify v
zahlen Sie bar oder mit Karte?;cash or charge?
städtisch adj;civic, urban, municipal adj
Eroberung, Sieg, Bezwingung, Überwindung n;conquest n
Stadtrat n;town council, city council n
das größte Glück, das höchste Glück n;the ultimate in happiness n
Leute vom Lande n;country people n
Tag der offenen Tür (AmE), Veranstaltung mit freiem Eintritt n;open house n
Jurastudent, Student der Rechte n;law student n
Abendland, der Westen n;Occident n
lückenlose Erinnerung n;total recall n
büßen, bezahlen für (fig) v;pay for v
höhere Schule n;secondary school n
solange wie, vorausgesetzt dass;as long as
jdn zeugen v;to father sb, beget (begot - begot) v
Antragsformular, Antrag, Bewerbungsbogen n;application form n
seine Aktivitäten ausdehnen, seine Aktivitäten erweitern, aktiv werden v;branch out v
finanzieren v;finance v
etw voraussetzen, etw annehmen (als Voraussetzung für) v;assume sth v
Internationale Datumsgrenze n;International Date Line n
niemand ist perfekt, niemand ist vollkommen;nobody is perfect
wohlbegründet, begründet adj;well-founded adj
im Training stehen, im Training sein, trainieren v;be in training v
neu streichen, neu tapezieren, renovieren v;redecorate v
streunendes Tier, Umherirrende(r), Heimatlose(r), Störeffekte, Störungen (beim Rundfunkempfang) n;stray n
zufrieden sein (mit) adj;be satisfied (with), be contented (with) adj
etw bei jdm abgeben v;to leave sth with sb v
sich abgeben mit v;bother with v
knapp bei Kasse sein, knapp an Bargeld sein v;be short of cash v
mittelrangig, von mittlerem Rang adj;middle-ranking adj
prüfen, auditieren v;audit v
Reichtümer, Bodenschätze, Ressourcen, Mittel n;resources n
zu Abend essen, Abendbrot essen v;have supper v
gesetzlich, durch ein Gesetz ...;by statute
ein paar, wenige;one or two
festhalten, festhalten an, nicht aufgeben, sich klammern an v;hold on to v
entgegen meinen Erwartungen adj;contrary to what I expected adj
auf der linken Seite, auf der rechten Seite;on the left hand side, on the right hand side
Krach machen, knallen, schlagen, zuschlagen, zuknallen v;bang v
Wechselbeziehung, Zusammenhang, Beziehung, Korrelation n;correlation n
das ist meine Philosophie, das ist meine Einstellung;that's my philosophy
unter Protest;under protest
umleiten, verlegen, für einen anderen Zweck verwenden, umdrehen, die Richtung ändern v;divert v
das wird dir noch Leid tun;you'll be sorry
bei jedem Wetter n;in all weathers n
Schimmer, ein (An-) Zeichen von etw, eine kleine Menge von etw n;gleam n
Bejahung, bejahender Satz, positiver Satz n;affirmative n
Rollweg (Flughafen) n;taxiway n
ziemlich (viel);pretty much
abgenutzt, viel genutzt adj;well-used adj
blühen, seinen Höhepunkt erreichen, zur vollen Blüte gelangen v;bloom v
prismatisch, in den Farben des (Licht-) Spektrums adj;prismatic adj
eskalieren, ausweiten, stark zunehmen, sich häufen v;escalate v
etw einschalten, etw starten v;power sth up v
behaupten, beteuern, geltend machen, durchsetzen v;assert v
zum halben Preis, zum halben Fahrpreis adj;half-fare adj
vom Wetter gegerbt, wettergegerbt, verwittert adj;weather-beaten adj
Widerstand, Opposition, Oppositionspartei, Gegensatz, Gegner n;opposition n
normalisieren, wieder herstellen v;normalise (BrE), normalize (AmE) v
von unten her;from the bottom up, from the bottom upwards
Aufregung, Lärm, Spektakel, Theater (bildlich) n;commotion n
Haaransatz, haarfeine Linie, Faden n;hairline n
Arbeit im Gelände, Feldarbeit, Feldforschung n;field work n
halbe Stunde n;half-hour n
niedrig auflösend adj;low-resolution adj
streng genommen adv;technically speaking adv
unschlagbar, unbesiegbar, nicht zu schlagen, unübertrefflich, unübertroffen adj;unbeatable adj
ausgeglichener Haushalt n;balanced budget n
bessere Hälfte (Ehegatte/Ehegattin) n;better half n
gesamte(r, s), Gesamt-... adj;aggregate adj
einwilligen, die Bedingungen erfüllen, den Bedingungen entsprechen v;comply v
sich verirren, vom Weg abkommen, vom rechten Weg abkommen v;go astray v
unterschiedlich, bewegt, bunt gemischt adj;varied adj
freie Stelle besetzen, offene Stelle besetzen;fill a vacancy
auf dem Tisch, auf-Tisch (immer mit Substantiv) adj;table-top adj
erlaubt ist was gefällt;anything goes
Beweis genug;proof enough
etw ändern, etw abändern, sich ändern v;alter v
geistiger Entwicklungsstand, geistiges Alter n;mental age n
in Richtung Süden adj;southbound adj
kleine Schwester n;baby sister n
Laden an der Ecke n;corner shop n
in Schwierigkeiten stecken v;be in a sorry mess v
plötzlich auftauchen, aus dem Boden schießen v;spring up v
Wie bitte?;pardon?, sorry?, excuse me? (AmE)
psychoanalytisch behandeln, psychoanalysieren v;psychoanalyse (BrE), psychoanalyze (AmE) v
unterscheiden, einen Unterschied machen, diskriminieren, benachteiligen v;discriminate v
bei der erstbesten Gelegenheit n;at the first opportunity, at the earliest opportunity n
zur Seite schieben, beiseite schieben v;push aside v
in Kind in Pflege nehmen v;foster v
Halbautomatik, halbautomatische Waffe n;semi-automatic n
jdn baden gehen lassen, jdn abservieren v;ditch sb v
ein Zimmer voller Leute;a roomful of people
sich trennen von v;part company from v
in einem Amt nachfolgen v;succeed to an office v
Europäische Gemeinschaft n;European Community n
etw/jdn von etw befreien, jdn/etw los sein v;to get rid of sb/sth v
sachlich, nüchtern, geradeheraus, direkt adj;matter-of-fact adj
Schätzung, Einschätzung, Schätzwert, geschätzter Wert n;valuation n
Gegner, Gegenspieler, Opponent n;opponent n
jdn/etw verurteilen, jdn/etw verdammen v;condemn v
Jahresring (Baum) n;tree ring, growth ring n
herunterlassen, herunterklappen, länger machen, auslassen (Kleidungsstück), enttäuschen v;let down v
nachdrücklich, mit Nachruck, entschieden adv;emphatically adv
vorher, im Voraus;beforehand
ziemlich groß, größer, ansehnlich, beträchtlich adj;sizeable, sizable adj
Zuneigung, Liebe n;affection n
staatlich finanziert adj;state-funded adj
Einschätzung, Meinung, Ansicht, Achtung, Ansehen n;estimation n
mitten in der Nacht;in the dead of the night
Junkfood, ungesundes Essen n;junk food n
sättigend (Essen) adj;filling adj
Candlelight-Dinner, Essen bei Kerzenschein n;candlelight dinner n
jdm die Schuld zuschieben v;to ascribe the blame to sb v
Vorgarten, Garten vor dem Haus n;front garden n
die Schuld zuschieben v;scapegoat v
Schuld, Schuldgefühl n;guilt n
außer Betrieb, außer Dienst (Kriegsschiff), außer Gefecht;out of commission
offensichtlich, patentiert adj;patent adj
mit offenen Augen träumen, vor sich hinträumen v;daydream v
jeden Zweifel ausschließend, zweifelsfrei;beyond reasonable doubt
als Vorarbeit, als Vorbereitung;as a preliminary
im Gegensatz zu;in contrast to
einen Selbsttest durchführen v;self-test v
Renovierungsarbeiten durchführen v;make renovations v
ganz bestimmt?, ist das ein Versprechen?;is that a promise?
Verhalten, Benehmen, Betragen, Führung, Leitung, Durchführung n;conduct n
vereiteln, durchkreuzen, verhindern;thwart
nicht funktionieren v;be inoperative v
Emotion, Gefühl, Gefühlsregung n;emotion n
die moderne Frau n;the new woman n
mit einer Feuchtigkeitscreme behandeln, Geschmeidigkeit verleihen, Feuchtigkeit verleihen, befeuchten v;moisturise (BrE), moisturize (AmE) v
Bahnhof n;station, railway station n
umformen, richten, umgestalten v;remodel v
jdn vorbereiten v;prime sb v
erfundene Tatsache n;fabricated fact n
zugeben, eingestehen, sich geschlagen geben, aufgeben v;concede v
etw härten, etw verhärten, etw kräftigen, sich verfestigen, hart werden v;harden v
Ansicht, Einstellung, Sicht, Sichtweise n;point of view n
Rücken an Rücken n;back-to-back n
steigend, zunehmend adj;escalating adj
elterliche Rechte n;parental rights n
schwanken, sich ständig verändern v;fluctuate v
erwachsen werden v;reach adulthood v
Prüfung, Qualitätsprüfung (Technik) n;assay n
Vorhut, Spitze, Führung, die Avantgarde n;advance guard, vanguard n
rechts klicken v;right-click v
ausschließen v;exclude v
herzzerreißend, das Herz brechend adj;heartbreaking adj
erste Ergebnisse, vorläufige Ergebnisse n;preliminary results n
aufs Meer hinaus, seewärts adj;seaward adj
Ruhe und Frieden n;peace and quiet n
sitzend, in sitzender Position adj;in a sitting position adj
Institution, Einrichtung, Heim, Einführung n;institution n
langfristig gesehen;in the long term
grob, roh, hart, ungefähr adv;roughly adv
Größe, Ausmaß, Bedeutung n;greatness n
Auflage, Bedingung, Festsetzung, Fordern n;stipulation n
Mangel, Fehler, Unzulänglichkeit n;shortcoming n
links klicken v;left-click v
Eingabe, Beitrag, Anschluss, Input n;input n
an Bord gehen, an Bord nehmen (in Flugzeuge) v;emplane v
Kern, Kernel (Computer) n;kernel n
einheimisches Produkt, einheimisches Erzeugnis n;domestic product n
beherrschender Einfluss, Einflussbereich, Schwingen, Sichwiegen, Schwanken, Schaukeln n;sway n
meine Damen und Herren!;ladies and gentlemen!
(gut) informiert adj;informed adj
Baum der Erkenntnis n;tree of knowledge n
laut nachdenken v;to think out loud v
Geldmittel, Mittel, Gelder, staatliche Wertpapiere (BrE) n;funds n
zweitens, zum Zweiten adv;secondly adv
sinken, fallen nachlassen, zurückgehen, (höflich) ablehnen v;decline v
Eigennutz, eigenes Interesse n;self-interest n
aus keinem ersichtlichen Grund;for no apparent reason
pädagogische Hochschule, Studienseminar für Lehrer n;teacher training college n
Botschaft, Botschaftsgebäude n;embassy n
eine Runde aussetzen v;miss a turn v
wichtige Rolle, Hauptrolle n;large part n
in hervorragendem Zustand;in spanking condition
ein eiserner Wille n;a will of iron n
Maschine schreiben, tippen, mit der Schreibmaschine schreiben v;typewrite v
Bürger zweiter Klasse n;second-class citizen n
den Markt beherrschen v;corner the market v
in tadellosem Zustand;in mint condition
höhere Gewalt n;act of God n
etw einführen, etw umsetzen, etw in die Tat umsetzen v;implement v
fleckenlos, sauber, rein adj;speckless adj
fleckenlos, sauber, rein adv;specklessly adv
internationale Beziehungen n;international relations n
Feierlichkeit, Ernst, Ehrwürdigkeit, Erhabenheit n;solemnity n
Natur, natürliche Umgebung n;natural surroundings n
Sozialdemokrat n;social democrat n
Gefahr, ernsthafte Gefahr, bedrohliche Gefahr n;peril n
entfernt, fern, entlegen, abgelegen adj;remote adj
kommerzielles Fernsehen, Privatfernsehen n;commercial television n
frisch adv;freshly adv
elektromagnetische Energie n;electromagnetic energy n
Energie sparend adj;energy-saving adj
Vorstellung, Ahnung, vage Idee n;notion n
Änderung, Abänderung, Veränderung n;alteration n
praktisch, nützlich, geschickt, griffbereit, greifbar, ganz in der Nähe adj;handy adj
jdn ruhig stellen, jdm ein Beruhigungsmittel geben v;sedate v
getrennt leben v;to be estranged v
Zieltermin, angestrebter Termin n;target date n
bergen, retten v;salvage v
Kasse (in einem Geschäft) n;cash desk n
drucken, etw ausdrucken, etw veröffentlichen, etw abdrucken, etw bedrucken, etw abziehen (Fotografie) v;print v
einfach zu benutzen, benutzerfreundlich adj;easy-to-use adj
Kasse, Kassenbüro n;cash office n
Wurfpfeil, Pfeil, Sprung, Satz n;dart n
hoch qualifiziert adj;highly qualified adj
junger Kerl, Junge, Bursche n;lad n
genügend, ausreichend, genug, hinreichend, tauglich adj;sufficient adj
falsch darlegen, falsch darstellen v;misstate v
warum warten?, wozu noch warten?;why wait?
sicher angelegt;safely invested
aufwiegen, überwiegen, mehr Gewicht haben als v;outweigh v
offene Gespräche, freimütige Gespräche n;candid talks n
zurückrollen, nach innen rollen (Augen) v;roll back v
offensichtlich, selbstverständlich adj;self-evident adj
Umzug, Prozession, Reihe, Schlange n;procession n
mit Leben füllen, beleben, animieren v;animate v
jdn gefährden, etw gefährden v;endanger v
jdn gefährden;to put sb at risk
etw führen (Waren), etw füllen v;stock v
von Beruf Schriftsteller n;professional author n
ein Tier mit einem anderen kreuzen, sich untereinander vermehren, sich kreuzen v;interbreed v
prägen (z. B. Münzen) v;mint v
prägen v;emboss v
frohes Ereignis, freudiges Ereignis n;happy event n
Bewohner(in), Einwohner(in) n;inhabitant n
bahnbrechendes Ereignis v;epochal event v
Rohentwurf, grober Entwurf n;rough draft n
dem Wind zugewandt, dem Wind zugekehrt, zum Wind, Wind-... adj;windward adj
mit einer Falle fangen, fangen, in die/eine Falle locken, in die Enge treiben v;trap v
messen, abschätzen, beurteilen, abwägen v;gauge v
etw ansehen v;have a look at v
Bedingungen n;terms n
bewusst adj;aware adj
sich zu Gesprächen treffen v;meet for talks v
eine positive Zahl;a plus figure
Fan von Fastfood n;fast food junkie n
versöhnende Worte n;conciliatory words, placatory words n
Aktien n;stocks n
tröstende Worte, Trostworte n;words of consolation n
bedürftig, arm, ärmlich adj;indigent adj
Grundlinie, Basis n;baseline n
großes Geschworenengericht n;grand jury n
gegensätzliche Interessen n;opposite interests n
Slowakei, Slowakische Republik n;Slovak n
jdn seinem Schicksal überlassen v;to abandon sb to his/her fate v
Mannequin, Modell, Gliederpuppe, Schaufensterpuppe n;mannequin n
eine Schauspieler engagieren v;engage an actor v
streunend, herrenlos, vereinzelt, einzeln, verirrt adj;stray adj
andererseits ...;on the other hand ...
halbieren, auf die Hälfte reduzieren v;halve v
Ursache und Wirkung n;cause and effect n
sie sind einander fremd geworden, sie haben sich auseinander gelebt v;they are estranged v
gekürzte Ausgabe, Kurzfassung, Kürzung n;abridgement n
Tracht Prügel, Prügeln (zur Strafe) n;spanking n
Windseite, die dem Wind zugewandte Seite n;windward n
freundschaftliche Beziehungen n;friendly relations n
ein Flugzeug fliegen v;pilot an aircraft v
bescheiden, gering, mäßig, nicht mit seinen Erfolgen prahlen adj;modest adj
tief, gähnend, riesig, tief liegend, eingefallen, hohl, höhlenreich, voller Höhlen adj;cavernous adj
sich klar (und deutlich) ausdrücken v;speak plain English v
abdanken, zurücktreten, verzichten v;abdicate v
jdn beauftragen etw zu tun v;commission sb to do sth v
einführen, einrichten, einleiten v;institute v
Ferien in der Mitte eines Trimesters n;half term n
etw strecken, etw verlängern v;elongate sth v
vom Feind besetzt adj;enemy-occupied adj
der Himmel (literarisch) n;the heavens n
genauso;just the same, exactly the same, just as...
sich langsam vorwärts bewegen, langsam voranrücken v;edge forward v
unbestimmt, unklar, nicht eindeutig, noch nicht festgelegt (Zeit, Datum) adj;indefinite adj
größte(r, s), höchste(r, s), äußerste(r, s) adj;utmost, uttermost adj
im Detail, im einzelnen, in aller Ausführlichkeit;in detail
übertriebene Reaktion, Überreaktion n;overreaction n
jdm zustehen v;to be due to sb v
freier Fall n;free-fall n
am Ball sein adj;be on the ball adj
beschleunigen, schneller werden, erhöhen, beflügeln, anregen v;quicken v
Nummer eins, großes Licht, Leuchte (Person) n;leading light n
bewältigen, meistern v;cope with v
durchsetzen, verhängen, verfügen, auferlegen v;impose v
Minister des Kabinetts, Minister n;cabinet minister n
Eistüte, Eis in einer Eiswaffel n;cornet of ice cream n
ein Urteil aufheben v;reverse the judgement v
verfallen, baufällig, heruntergekommen, verwahrlost, klapprig (Auto), ramponiert (Auto) adj;dilapidated adj
Vorbedingung, Bedingung, Voraussetzung n;precondition n
übertragen, weiter übertragen, etw weiterleiten v;relay v
jdn hineinführen, jdn hereinführen, jdn festnehmen v;to take sb in v
sich auf etw konzentrieren v;to concentrate on sth v
sterile Umgebung, keimfreie Umgebung adj;germ-free environment adj
in guter Form, in gutem Zustand n;in good trim n
Doktor, Arzt, Ärztin, Mediziner n;doc, doctor, Dr n
auf etw festlegen v;commit to v
eine Abmachung treffen, eine Vereinbarung treffen;to come to an understanding, to reach an understanding
Blatt (Papier) n;sheet of paper n
namenlos, unbekannt, unbeschreiblich adj;nameless adj
absehen von etw, Abstand nehmen von etw;refrain from sth
Polizist, Bulle (ugs) n;cop n
Rathaus, Stadtverwaltung n;city hall (AmE) n
Blickkontakt mit jdm vermeiden n;avoid eye contact with sb n
ablehnen, nicht anerkennen, zurückweisen, aufheben v;overrule v
Beteiligung, Verwicklung, Verstrickung, Verhältnis, Affäre, Engagement, Interessiertsein n;involvement n
Tat, Handlung, Übertragungsurkunde (Jura) n;deed n
nationale Regierung n;national government n
rasend, heftig, zerteilend adj;splitting adj
Erscheinungstag, Premierentag, Erstaufführungstag, Entlassungstag (Gefängnis) n;release date n
im Prinzip;in principle
verboten sein, gesetzlich verboten sein adj;prohibited adj
Radio mit Druckknöpfen n;push-button radio n
ansteckende Krankheit n;infectious disease n
im Endstadium (Krankheit) n;terminal stage n
eine Maschine (Flugzeug) im Bach (auf dem Wasser) landen v;ditch a plane v
optischer Leser, optischer Zeichenleser n;optical character reader n
außerordentlich gut;supremely well
etw ganz von vorne anfangen, etw aus dem Nichts aufbauen;to start sth from scratch
meiner Einschätzung nach;in my estimation
etw verhindern, etw verhüten, etw abwehren, etw abwenden v;avert v
Planung n;planning n
sobald wie, sobald als;as soon as
im Falle, falls;in case
vermutet, mutmaßlich, angeblich, vermeintlich adj;supposed adj
jdn umarmen, jdn in die Arme schließen v;embrace sb v
sich schnell umdrehen, herumfahren v;wheel around, wheel round v
Körperbau, Softwareversion (Computer) n;build n
etw voll füllen, etw auffüllen, etw ausfüllen (Raum, Fläche) v;fill up v
Reihenfolge, Abfolge, Sequenz, Reihe (Mathematik) n;sequence n
aus freier Hand adj;freehand adj
doppelt schnell, im Nu, in null Komma nichts adj;double-quick adj
nach unten drücken, hinunterdrücken v;push down v
mangeln, zerstört werden, verstümmelt werden, zerdrückt werden v;mangle v
Verband, Binde, Bandage n;bandage n
Theater, Umstände, Aufheben(s), Wirbel, (übertriebene) Aufregung, (übertriebener) Aufwand n;fuss n
langsam herunterbrennend, langsam brennend adj;slow-burning adj
etw abnehmen, etw abtrennen, lösen, ablösen v;detach v
in Würde sterben v;die with dignity v
inmitten, mitten in, mitten unter;amid, amidst
Landleben, Leben auf dem Lande n;country life n
Ressource, Mittel, Ausweg, Betriebsmittel, Hilfsmittel, Hilfsquelle, Rohstoff n;resource n
holprige Fahrt n;bumpy ride n
unabhängig, selbstständig, ohne fremde Hilfe adj;independently adj
eine deutliche Sprache sprechen v;be plain-spoken v
jdn feuern v;chop sb v
jdn durch die Blume fragen v;ask sb in a roundabout way v
Zuneigung, Liebe, Vorliebe n;fondness n
Aufnahme, Ansaugen, aufgenommenen Menge, eingeströmte Menge, Zuflussrohr, Einströmungsöffnung n;intake n
aufgeben, kapitulieren, sich jdm ergeben, sich stellen, jdm etw übergeben, jdm etw aushändigen v;surrender v
staatlich gefördert adj;state-aided adj
falsch auffassen, falsch auslegen, fehlinterpretieren v;misinterpret v
Ruder (Schifffahrt), Steuer (Schifffahrt) n;helm n
Aussicht vom Dach, Aussicht von der Dachterrasse n;rooftop view n
zurückschlagen, sich verteidigen, Widerstand leisten, sich wehren v;fight back v
untersuchen (genau betrachten) v;scrutinise (BrE), scrutinize (AmE) v
nachdrücklich, entschieden, energisch adj;emphatic adj
von unten;from down below
gut eingestellt, mental ausgeglichen, gut angepasst adj;well-adjusted, well adjusted adj
untersuchen (durchsuchen) v;search sb/sth (for sth) v
zweifellos, ohne Zweifel adj;no doubt adj
distanziert, selbstgenügsam, separat, unabhängig, in sich geschlossen, eigenständig adj;self-contained adj
den Spitzenbedarf decken v;meet peak demand v
wieder füllen, wieder auffüllen, auftanken, aufstocken v;replenish v
Beruf, Berufung n;vocation n
Beseitigung, Entsorgung, Loswerden, Veräußerung, Anordnung, Arrangement, Verfügung n;disposal n
Untersuchung, Sonde, Messfühler n;probe n
ursprünglich, eingeboren, Aborigine-... adj;aboriginal adj
freier Markt, Freiverkehr n;free market n
Buckel, Ahnung, Gefühl, Verdacht n;hunch n
Neuigkeit, Nachricht n;news item n
etw löschen, etw streichen v;delete sth v
Mahnung, Erinnerung, Gedächtnisstütze n;reminder n
Erinnerung, Andenken n;remembrance n
Sportlichkeit, sportliches Verhalten, Fairness n;sportsmanship n
polstern, beziehen v;upholster v
Beratung, soziale Beratung, Therapie n;counselling n
jdn ermüden v;exhaust sb v
kleiner Wohnzimmertisch n;occasional table n
kleiner Schokoladenkuchen, Brownie n;brownie n
nach links wenden, nach rechts wenden, nach links abbiegen, nach rechts abbiegen;turn left, turn right
mit beredten Worten, beredt adv;eloquently adv
unbekümmert, sich keine Sorgen über etw/jdn machen, desinteressiert adj;unconcerned adj
die Stunde X;zero hour
Herz (ugs), Armbanduhr (ugs), Wecker (ugs) n;ticker n
in jüngster Vergangenheit, in jüngerer Zeit, erst vor kurzem;in the recent past
etw an der Spitze mit etw versehen v;tip sth with sth v
einen Garten anlegen v;plant a garden v
Bauer (Schachfigur), Pfand n;pawn n
Austauschbesuch (Schule, Uni) n;exchange visit n
richtiggehend, gründlich, groß angelegt, umfassend adj;full-scale adj
Gott segne dich!;God bless you
künstlicher See n;artificial lake n
scharf eingestellt sein v;be in focus v
strukturell, Struktur-..., baulich, tragend, essentiell, notwendig adj;structural adj
Schneide, Schnittkante, letzter Stand n;cutting edge n
rechtfertigen, garantieren, gewährleisten, zusichern, verdienen, wetten v;warrant v
sich bewölken, sich beziehen, sich verdüstern v;cloud over v
ausdrücken, in Worte fassen, verbalisieren v;verbalise (BrE), verbalize (AmE) v
lichtlos, dunkel adj;lightless adj
Heide, Heidin n;pagan n
zu den Waffen!;to arms!
eheähnliche Gemeinschaft n;common-law marriage n
der Erste, die Erste, das Erste, das Erstere, Note Eins (BrE) n;first n
Hinweis, Anhaltspunkt, Tipp, Spur, Ahnung n;clue sb in (on sth) n
die Schweden n;the Swedish n
freiwillig, von sich aus, ehrenamtlich v;voluntarily v
zerzausen, kräuseln, verkrumpeln, aus der Ruhe bringen, verärgern, aufbringen v;ruffle v
Fußball (AmE), Fußballspiel (AmE) n;soccer (AmE), soccer game (AmE) n
Olive n;olive n
Krankenzimmer, Krankenstation (Krankenhaus) n;infirmary n
Vulkanaktivität, vulkanische Aktivität n;volcanic activity n
Notaufnahme (Krankenhaus), Unfallstation, Unfallambulanz n;emergency room n
jdm etw leihen v;to loan sb sth, to loan sth to sb v
Oberleutnant (Militär) n;first lieutenant (AmE) n
Obergefreiter (Militär) n;private first class (AmE) n
existierend, bestehend, vorhanden adj;existent adj
Brigadegeneral (Militär) n;brigadier (BrE), brigadier general (AmE) n
Stabsoffizier (Militär) n;staff officer n
Grenzen, Fesseln, enge Grenzen n;confines n
Drill (Militär), Exerzieren, Drillübung n;drill n
Speerspitze, Angriffsspitzer (Militär) n;spearhead n
Stabsunteroffizier (Militär) n;corporal n
Schusswechsel (Militär) n;firefight n
Heilmittel, Mittel, Gegenmittel, Abhilfe, Rechtsmittel n;remedy n
unter diesen Umständen;in the circumstances, under the circumstances
bis spätestens;by now, by the time, by this time
olympisch adj;Olympic adj
äußerst dringend adj;utterly urgent adj
in Mode kommen v;become fashionable v
Handelsmesse, Messe n;trade show, trade fair n
von üblem Ruf;of ill fame
wirbeln, herumwirbeln, drehen, zwirbeln v;twirl v
resignierter Ausdruck, gleichgültiger Ausdruck n;resigned expression n
schiefe Ebene n;inclined plane n
maßgeschneidert, nach Maß geschneidert adj;tailor-made adj
mein ganzes Leben;all my life
er ist zum Mittagessen;he's at lunch
was soll das?!, kannst du das erklären?!;explain yourself!
schlichten (Streit), vermitteln v;arbitrate v
selbstverständlich sein v;to be a natural course of action v
seine Schuld zugeben v;admit one's guilt v
etw in Zahlung geben v;give sth in part exchange v
offensichtlich, anscheinend adv;apparently adv
sterben, umkommen, untergehen, etw zugrunde richten, verschleißen, brüchig werden v;perish v
umfassend adj;comprehensive adj
er ist ein fürchterlicher Schwätzer, er führt bloß große Reden;he's all talk
eine Gefahr für Leib und Leben;a danger for life and limb
ich bin mit dieser Einstellung überhaupt nicht einverstanden!, ich bin mit Ihrem Benehmen überhaupt nicht einverstanden;I don't like your attitude!
niedrig, untergeordnet adj;menial adj
monotone(r) (Klang, Stimme) adj;monotone adj
Jugoslawien n;Yugoslavia n
gefährlich, bedrohlich adj;perilous adj
Grundvoraussetzung, Voraussetzung, Vorbedingung n;prerequisite n
gefährlich, bedrohlich adv;perilously adv
Pfarrer, Priester einer Pfarre n;parish priest n
jdm über die Runden helfen v;tide sb over v
limitierte Auflage, limitierte Serie n;limited edition n
Aufsicht, Aufsichtsbeamter, Leiter, Hauptkommissar (BrE), Polizeipräsident (AmE) n;superintendent n
höchste(r, s), oberste(r, s), äußerste(r, s), größte(r, s) adj;supreme adj
verschiedene Artikel, Verschiedenes n;miscellaneous items n
Zeichen, Gutschein, Token n;token n
vehement, heftig, scharf, leidenschaftlich adj;vehement adj
auflandiger Wind, Seewind n;onshore wind n
stämmig gebaut, breit gebaut, quadratisch gebaut adj;square-built adj
Senf, Senfgelb (Farbe) n;mustard n
Oper n;opera n
nachdenken, etw betrachten, etw in Erwägung ziehen v;contemplate v
angreifen (Militär), tätlich werden gegen, herfallen über v;assault v
etw in Zahlung nehmen v;take sth in part exchange v
auf kurze Sicht;in the short term
Pfirsich, Pfirsichbaum, Pfirsichton (Farbe) n;peach n
Nachfrage nach etw, Konsumentennachfrage n;consumer demand n
Keime verbreiten v;spread germs v
anekeln, anwidern, erschüttern, krank machen v;sicken v
lösen, losmachen, losbinden, loslassen v;unloose v
frühstücken v;have breakfast v
das nehme ich dir nicht ab;I don't buy it
möbliertes Zimmer n;furnished room n
auf jdn fluchen v;swear at sb (swore - sworn) v
Heilbad, Bad, Kurort, Mineralbad, Heilquelle, Mineralquelle n;spa n
stoßen, rammen, zwängen v;ram v
einleiten, den Auftakt bilden v;prelude v
jdn drängen, jdn bedrängen v;crowd sb v
vergolden, etw zum leuchten bringen v;gild (gilded - gilded) v
die Rechnung bitte!;bring us the bill, please!, the bill please!
etw berücksichtigen, etw bedenken, etw in Betracht ziehen v;take sth into consideration v
Rückzug (Militär), Sonderbeilage, heraustrennbarer Teil (z. B. Zeitschrift) n;pull-out n
sich unterwerfen, einreichen, vorlegen v;submit v
mit Bedauern, bedauerlicherweise, leider adv;regretfully adv
Verstauen, Beladen, Laden, Stauen, Stauraum n;stowage n
wiederholt, mehrfach adj;repeatedly adj
Unternehmer n;entrepreneur n
einem geburtenstarken Jahrgang angehören v;be a baby boomer v
immer der Nase nach, folge deiner Nase n;follow your nose n
wie gewöhnlich;as ever
höhere Schulausbildung n;secondary schooling n
sich umdrehen;turn around, turn round
Finanzierung n;funding n
private Finanzierung n;private funding n
verstärken, näher erläutern, ausführlicher erläutern, genauer ausführen v;amplify v
sich (hin-) setzen v;sit down v
letztes Angebot n;final offer n
jdm etw verleihen v;confer sth upon sb v
übel nehmen, sich ärgern über v;resent v
Rezensent(in), Kritiker(in) n;reviewer n
Lust haben ...;feel like ...
Satz, Redewendung, Wendung, Ausdruck, Phrase (Musik) n;phrase n
wütend, wild adj;furiously adj
die heutige Zeitung;today's paper
besondere(r, s) adj;especial adj
in einem Feldversuch testen v;field-test v
nach links abbiegen, nach rechts abzeigen;turn left, fork left
schnappen, erwischen, fangen v;cop v
zusichern, sicherstellen, versichern v;assure v
Stellenangebote, offene Stellen n;vacancies n
auf der positiven Seite;on the positive side
Zahlen frisieren v;to juggle figures v
ausschließen, ausstoßen, herauswerfen v;expel v
Druckkabine (Flugzeug) n;pressurised cabin (BrE), pressurized cabin (AmE) n
vorbereitet adj;prepared adj
sich dehnen, sich strecken, sich recken v;have a stretch v
