digression, straying, wandering from the point;Abschweifung (vom Thema)
possession;Besitz, Besitztum, Besitzung, Eigentum, Gut
to inspire;begeistern, eingeben, inspirieren, antreiben, anfeuern
blackbird;Amsel
to sustain;anlegen, lehnen, anlehnen, stemmen, stützen, unterstützen, unterhalten
fountain-pen;Füller, Füllfeder
to identify;identifizieren
to come true;zustandekommen
derision, ridicule;Spott, Spöttelei, Spotten
overhead;luftig, Luft-, oben
woe;weh, wehe
Cambodian;kambodschanisch
flint;Flint, Kiesel, Kieselstein
to cause pain, to distress, to cause pain to, to give pain to;betrüben
shameful;infam
Andorra;Andorra
bastion;Bastei, Bastion, Bollwerk
armchair;Lehnstuhl
tin;Blech, Zinn
to watch over;hüten, behüten, bewachen, überwachen
musk;Bisam, Moschus
to prophesy, to foretell;vorhersagen, wahrsagen, prophezeien, weissagen
trillion;Trillion
monocle;Monokel
oboe;Oboe
miraculous;mirakulös
natural gas;Erdgas, Naturgas
act of grace, amnesty;Amnestie, Begnadigung, Straferlass
armpit;Achselhöhle
innocence;Unschuld
circumcision;Beschneidung
greenweed;Ginster
to put to sleep;einschläfern, betäuben
box-tree;Buchsbaum
mill;Mühle
gracefulness;Anmut, Liebreiz, Grazie
air raid, airstrike;Luftangriff
Kirghizia;Kirgisistan
to thaw;tauen, auftauen
to pinch;kneifen, zwicken
to tint, to dye, to colour;färben
mouldy;dumpfig, moderig
wrist;Handgelenk
saliva;Speichel
budget;Budget, Etat, Haushalt, Haushaltsplan
Palestine;Palästina
apostrophe;Apostroph, Auslassungszeichen
chestnut-tree;Kastanienbaum
starch;Appretur
to signal;signalisieren
tampon;Tampon, Mullbinde
mosquito net;Mückennetz
Eris;Eris
pharmacy;Pharmazie
to delete;wegwischen, wischen
spring crocus;Frühlings-Krokus
pony-tail palm, bottle palm, elephant-foot tree;Elefantenfuß, Fleschenbaum
mass;Haufen, Menge, Stapel, Masse, Gottesdienst, Messe
shelter;Bunker, Zufluchtsort, Obdach, Asyl, Freistätte, Hospiz, Zuflucht, Schirm
drive shaft, driving axle;Antriebswelle
brownie, gnome;Gnom
to present, to introduce, to tender;aufführen, bieten, anbieten, darstellen, vorstellen, präsentieren
to strangle;strangulieren, erdrosseln, erwürgen, würgen
match-maker;Heiratsvermittler
sweet almond;Süßmandel, Süßmandelbaum
bedstraw;Labkraut
to swish, to rustle;rauschen
obstacle;Schranke
oratory, rhetoric;Rhetorik
to edify;erbauen, erheben
fennel;Fenchel
circle;Kreis, Bezirk, Runde, Gesellschaft, Sozietät
europium;Europium
sea-anemone, actinium;Actinium
Alpine pasqueflower;Alpen-Küchenschelle
Bengal;Bengalen, bengalisch
thermos flask, thermos bottle, thermos;Isolier-Gefäß
remainder;Übriges, Rest, Bestand, Rückstand, Überbleibsel
to make fast, to secure;befestigen, festsetzen, fixieren
to reciprocate;erwidern
water-melon;Wassermelone
numeral;Zahl, Zahlzeichen, Ziffer, Nummer
to inject;einspritzen, injizieren
wart;Warze
disobedient;widerspenstig
decanter, carafe;Karaffe
arbitration;Schiedsgericht, Schiedsspruch
cradle;Wiege
guidebook;Leitfaden, Lenker, Reiseführer
nobleness;Edelmut
hibiscus;Hibiskus
ballet dancer;Balletttänzerin, Balletttänzer
abbess;Äbtissin
bass voice;Bass
rat;Ratte
level-crossing;Bahnübergang
iodine;Jod
bed;Beet, Flussbett, Bett
Cuban;kubanisch, Kubaner
fop, dude, dandy;Dandy, Geck
Madonna;Madonna
eel;Aal
osmium;Osmium
granite;Granit
spell, delusion;Zauber
to acclimatize;akklimatisieren
leprosy;Aussatz
imperialist;Kriegstreiber, Imperialist
Berne;Bern
Goth;Gote
subjunctive;Konjunktiv, Subjunktiv, Volitiv
paralysis;Lähmung
Norwegian;norwegisch, Norweger
folklore;Folklore, Volkskultur
mild;mild
bristly, untidy, standing on end;struppig
to tilt;neigen, hinneigen
loin;Lende
apartment;Appartement, Etagenwohnung, Gemach
to reduce;reduzieren
subordinate;Untergebene
mysticism;Mystizismus
cannibal;Kannibale, Menschenfresser
clubs;Treff
rope;Leine, Schnur, Seil, Strang, Strick
despotic;despotisch, Gewaltherrschaft ausübend
baroness;Freifrau
champagne;Champagner
dolphin;Delphin
to break up;auseinandergehen
Damascus;Damaskus
paperbacked;geheftet
to eradicate;ausreißen, entwurzeln
dam;Gehege, Hürde, Schranke, Deich, Staudamm
caduceus;Merkurstab, Äskulapstab, Caduceus, Heroldstab des Merkur
lava;Lava
tooth;Zacken, Zahn, Zinke
