to fail (an exam);(in einer Prüfung) durchfallen;Education(MSW);Englisch
to hand work in;eine Arbeit / Hausaufgaben abgeben;Education(MSW);Englisch
to join a club;hier: einer AG beitreten;Education(MSW);Englisch
to mark a paper;eine Arbeit korrigieren;Education(MSW);Englisch
to pass (an exam);(eine Prüfung) bestehen;Education(MSW);Englisch
to punish s.o./sth.   --  punishment;jdn./etwas bestrafen  --  Strafe;Education(MSW);Englisch
to revise (for an exam)  -- revision;sich durch Wiederholung des Stoffes (auf eine Prüfung) vorbereiten  --  Wiederholung;Education(MSW);Englisch
to skip a lesson;eine Unterrichtsstunde schwänzen;Education(MSW);Englisch
to stay down;sitzen bleiben;Education(MSW);Englisch
to study a subject;ein Fach studieren;Education(MSW);Englisch
to test sth.  --  test;etwas überprüfen  --  Test;Education(MSW);Englisch
to work (for a test);(für eine Arbeit) lernen;Education(MSW);Englisch
to work sth. out;etwas ausrechnen;Education(MSW);Englisch
training course;Lehre, Berufsausbildung;Education(MSW);Englisch
written exam(ination);schriftliche Prüfung;Education(MSW);Englisch
