wertlos;worthless
Behälter, Besteck, Krug;container
genießbar;drinkable
bedauern, beklagen;to begrudge
Verfasserin, Schriftstellerin;authoress, woman writer
Anlaß, Veranlassung;inducement
Ansichtskarte, Postkarte;picture postcard
aus Prinzip, grundsätzlich, prinzipiell;in principle
rasieren, abschaben, barbieren;to shave
oh!;ow
widerstehen;to withstand
Artist, Künstler;artist
Datei;dossier
Gewinn, Überschuss, Verdienst, Vorteil, Ertrag, Interesse, Nutzen;profit
abhängig;dependant
ausladen;to unload
eben, glatt, flach, egal, horizontal, waagerecht, Niveau;level
Paprika;chilli, paprika
Semikolon, Strichpunkt;semicolon
Anblick, Aussehen, Aspekt, Kimme, Gesicht, Sehen;sight
begabt;gifted
adaptieren, anpassen, legen, stellen, setzen, stecken;to place
Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus, Sitte;custom
Wetter, Witterung;weather
Gesang;singing
israelisch;Israelian, Israeli
ausschließlich, exklusive, allein, bloß, erst, lediglich, nur;exclusively
Anordnung, Anlage, Talent;disposition
Sau;sow
beliebt;loved
Gehirn, Hirn;brain
Autobahn, Schnellstraße;motorway
Führer, Reiseführer;guide
kohärent, zusammenhängend, verbunden, konsequent, folgerichtig;consistent
Stewardess;air hostess, stewardess
geizig;stingy, avaricious, miserly
interessieren, erbeuten, ergreifen, ertappen, erwischen, fangen, fassen;to captivate
(Zünd-)Kerze;spark plug
verwalten, dirigieren, führen, richten, steuern, haushalten, wirtschaften;to manage
Schneider;tailor
Äußeres, Anblick;exterior
tödlich;deadly
egal;equal
schicken, senden, einsenden;to transmit, to send
ordnen, anordnen;to tidy, to put in order
allmählich, nach und nach;little by little, gradually
indianisch;Red Indian
prozessieren;to go to court, to sue, to litigate
aus welchem Grunde, warum, weshalb, weswegen, woher;why
eventuell;eventual, contingent
Diskant, Sopran;soprano
fröhlich, heiter, lustig, vergnügt;cheerful
königlich;regal, royal
persönlich, eigen;personal
wohlhabend;well-to-do, in easy circumstances
absolut, unbedingt, unbeschränkt, vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum), unbedingt notwendig, unabdingbar, bedingungslos;absolute
Buddhist;Buddhist
gescheit, klug, weise;wise
Bürgermeister;mayor
Schlitten;sledge, sleigh
brav, tapfer, tüchtig, wacker;gallant
ausgenommen, außer;apart from, except
gestrig;of yesterday
frei, geläufig, unentgeltlich, gratis, umsonst;free
Psyche, Geist;psyche
Brust, Busen;bosom
Tonne;ton
Geschäfte betreiben, Geschäfte machen, verhandeln;to negotiate
sich nähern;to tackle
Anstrengung, Kampf, Schlacht;struggle
Mandel, Mandelbaum;almond-tree
Überfluss;plenty
Tango, Schlingern;tango
ewig, stetig, ständig;eternal
Analyse, Untersuchung;analysis
Papst;pope
Gras, Kraut;grass
einatmen;to inhale
umbringen, verderben, verheeren;to ruin
Demonstration, Vorführung;demonstration
glaubhaft;plausible
importieren, einführen;to import
Schirmmütze, Haube, Kappe, Mütze;cap
Pubertät, Jugend;puberty, adolescence
aufziehen, züchten, bilden, erziehen, anstimmen, heben, aufheben, erheben, zücken, erhöhen;to raise
Lunge;lung
Konsulat;consulate
