worthless;wertlos
lower part of the body;Abdomen, Bauch, Unterleib
to assure;behaupten, bestätigen, vergewissern
administration;Verwaltung, Regierung
ecstasy;Ekstase, Entzückung
to suspect;misstrauen, argwöhnen, verdächtigen
premium;Agio, Aufgeld, Prämie, Preis
train;Gefolge, Zug, Eisenbahnzug
folder;Verzeichnis, Ordner, Heft
back wheel, rear wheel, hind wheel;Hinterrad
thoroughly;gründlich
sense;Auffassung, Begriff, Verständnis, Sinn, Verstand
filling station;Tankstelle
opposite;stirnseitig, frontal, frontseitig, an, gegen, gegenüber, wider, verkehrt, drüben, im Jenseits, jenseits
to hit;hauen, schlagen, klopfen, treffen
domesticated, house-;Haus...
mechanic;Mechaniker
to renew;erneuern
residence;Wohnort, Wohnsitz, Wohnhaus, Wohnung
stub, cigarette-end;Zigarettenstummel
league;Allianz, Band, Bund, Bündnis, Liga, Verband, Verbindung
circumference;Umfang
to beseech;beschwören, flehen
fervour, zeal;Eifer, Inbrunst
to tape;binden, mit einem Band befestigen
data;Material, Zutat
masculine, male;männlich
substantive, noun;Hauptwort, Substantiv
ball;Ball, Globus, Kugel, Sphäre
inconvenient;schwer, unangebracht, ungünstig, unzweckmäßig, unpassend, importun
stock;Lager, Bestand, Vorrat
share;Aktie, Anteilschein, Anteil, Teil, Portion, Ration, Stück, Partie
naïf, naïve;naiv
to cough;husten
unprepared;unvorbereitet
to provide;anschaffen, beschaffen, besorgen, verschaffen, ausstatten, versehen, versorgen
overflowing, superfluous;überflüssig
hare;Hase
voltage;Spannung
to stipulate, to set conditions;voraussetzen, bedingen
hard;hart, schwer, anstrengend
transgression, sin;Sünde
hoarse;heiser
to care for;behandeln, heilen, kurieren
access;Anfall, Angriff, Offensive, Eingang, Eintritt, Andrang, Antrieb, Impuls
proposal;Heiratsantrag, Antrag, Gebot
to cite, to quote;anführen, erwähnen, nennen, zitieren
boat;Boot, Schaluppe
mad;irre, toll, verrückt, wahnsinnig, rabiat, tollwütig, wütend
volcano;Vulkan
Moscow;Moskau
sieve;Sieb
horizontal;horizontal, waagerecht
self-reliance, self-confidence;Selbstvertrauen
to abuse;beleidigen, schimpfen, beschimpfen, schelten, missbrauchen, kränken, verletzen, martern, peinigen, quälen
husband;Ehemann, Gemahl, Gatte
Saxe, Saxony;Sachsen
thanks to;dank
abysmal;unerforschlich, hoffnungslos, grundlos, entsetzlich, furchtbar, schrecklich, grässlich
personality;Charakter, Gemüt, Persönlichkeit
tiny;klein, winzig
container;Behälter, Besteck, Krug
drinkable;genießbar
to begrudge;bedauern, beklagen
authoress, woman writer;Verfasserin, Schriftstellerin
inducement;Anlaß, Veranlassung
picture postcard;Ansichtskarte, Postkarte
in principle;aus Prinzip, grundsätzlich, prinzipiell
to shave;rasieren, abschaben, barbieren
ow;oh!
to withstand;widerstehen
artist;Artist, Künstler
dossier;Datei
profit;Gewinn, Überschuss, Verdienst, Vorteil, Ertrag, Interesse, Nutzen
dependant;abhängig
to unload;ausladen
level;eben, glatt, flach, egal, horizontal, waagerecht, Niveau
chilli, paprika;Paprika
semicolon;Semikolon, Strichpunkt
sight;Anblick, Aussehen, Aspekt, Kimme, Gesicht, Sehen
gifted;begabt
to place;adaptieren, anpassen, legen, stellen, setzen, stecken
custom;Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus, Sitte
weather;Wetter, Witterung
singing;Gesang
Israelian, Israeli;israelisch
exclusively;ausschließlich, exklusive, allein, bloß, erst, lediglich, nur
disposition;Anordnung, Anlage, Talent
sow;Sau
loved;beliebt
brain;Gehirn, Hirn
motorway;Autobahn, Schnellstraße
guide;Führer, Reiseführer
consistent;kohärent, zusammenhängend, verbunden, konsequent, folgerichtig
air hostess, stewardess;Stewardess
stingy, avaricious, miserly;geizig
to captivate;interessieren, erbeuten, ergreifen, ertappen, erwischen, fangen, fassen
spark plug;(Zünd-)Kerze
to manage;verwalten, dirigieren, führen, richten, steuern, haushalten, wirtschaften
tailor;Schneider
exterior;Äußeres, Anblick
deadly;tödlich
equal;egal
to transmit, to send;schicken, senden, einsenden
to tidy, to put in order;ordnen, anordnen
little by little, gradually;allmählich, nach und nach
